,PlayerID,PlayerName,Age,Rating in Scale 100,Potential in Scale 100,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,PopularityHits
0,158023,L. Messi,33,93,93,93,RW,€103.5M,€560K,€138.4M,429,470,451,389,347,91,54,2231,466,4 ★,4★,Medium,Low,5 ★,771
1,20801,Cristiano Ronaldo,35,92,92,92,ST,€63M,€220K,€75.9M,437,414,431,444,353,84,58,2221,464,4 ★,5★,High,Low,5 ★,562
2,200389,J. Oblak,27,91,93,91,GK,€120M,€125K,€159.4M,95,109,307,268,140,57,437,1413,489,3 ★,1★,Medium,Medium,3 ★,150
3,192985,K. De Bruyne,29,91,91,91,CAM,€129M,€370K,€161M,407,441,398,408,408,186,56,2304,485,5 ★,4★,High,High,4 ★,207
4,190871,Neymar Jr,28,91,91,91,LW,€132M,€270K,€166.5M,408,448,453,357,356,94,59,2175,451,5 ★,5★,High,Medium,5 ★,595
5,188545,R. Lewandowski,31,91,91,91,ST,€111M,€240K,€132M,423,407,407,420,391,96,51,2195,457,4 ★,4★,High,Medium,4 ★,248
6,209331,M. Salah,28,90,90,90,RW,€120.5M,€250K,€144.3M,392,406,460,393,376,122,62,2211,470,3 ★,4★,High,Medium,3 ★,246
7,212831,Alisson,27,90,91,90,GK,€102M,€160K,€120.3M,114,138,268,240,140,50,439,1389,490,3 ★,1★,Medium,Medium,3 ★,120
9,192448,M. ter Stegen,28,90,93,90,GK,€110M,€260K,€147.7M,118,144,254,268,171,48,439,1442,484,4 ★,1★,Medium,Medium,3 ★,130
10,203376,V. van Dijk,28,90,91,90,CB,€113M,€210K,€145.3M,316,363,354,402,347,272,58,2112,455,3 ★,2★,Medium,Medium,3 ★,321
11,208722,S. Mané,28,90,80,90,LW,€120.5M,€250K,€144.3M,410,391,460,406,358,122,56,2203,469,4 ★,4★,High,Medium,3 ★,189
12,200145,Casemiro,28,89,89,89,CDM,€90.5M,€310K,€122M,349,369,343,437,396,259,67,2220,463,3 ★,2★,High,High,3 ★,175
13,192119,T. Courtois,28,89,80,89,GK,€82M,€250K,€119M,86,110,284,249,122,54,420,1325,468,3 ★,1★,Medium,Medium,4 ★,96
14,167495,M. Neuer,34,89,89,89,GK,€17.5M,€130K,€47.9M,119,160,286,284,188,38,440,1515,497,4 ★,1★,Medium,Medium,5 ★,118
15,165153,K. Benzema,32,89,89,89,CF,€83.5M,€350K,€108.7M,426,404,388,400,363,89,41,2111,442,4 ★,4★,Medium,Low,4 ★,216
16,155862,Sergio Ramos,34,89,89,89,CB,€33.5M,€300K,€50.2M,374,381,378,402,414,263,46,2258,463,3 ★,3★,High,Medium,4 ★,212
17,153079,S. Agüero,32,89,89,89,ST,€83.5M,€300K,€98.1M,411,397,424,403,341,83,59,2118,439,4 ★,4★,High,Medium,4 ★,154
18,202652,R. Sterling,25,76,80,88,LW,€114.5M,€270K,€139.6M,360,387,464,358,332,147,63,2111,455,3 ★,4★,High,Medium,3 ★,205
19,215914,N. Kanté,29,88,88,88,CDM,€78M,€190K,€96.9M,328,336,420,381,386,264,54,2169,468,3 ★,2★,Medium,High,3 ★,202
20,212622,J. Kimmich,25,88,90,88,CDM,€103M,€145K,€112.1M,383,400,399,403,379,245,60,2269,473,4 ★,3★,High,Medium,3 ★,339
