,Age,Rating in Scale 100,Potential in Scale 100,PreferredFoot,BestOverall,BestPosition,MarketValue,WeeklyWage,ReleaseClause,AttackingSkills,SkillAttributes,MovementSkills,PowerSkills,MentalAttributes,Composure,DefendingSkills,GoalkeepingSkills,TotalStats,BaseStats,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,InternationalReputation,Pace,Shooting,Passing,Dribbling.1,Defending,Physical
0,33,93,93,Left,93,RW,103500000.0,560000.0,138400000.0,429,470,451,389,347,96,91,54,2231,466,4,4,Medium,Low,5,85,92.0,91,95,38,65
1,35,92,92,Right,92,ST,63000000.0,220000.0,75900000.0,437,414,431,444,353,95,84,58,2221,464,4,5,High,Low,5,89,93.0,81,89,35,77
2,27,91,93,Right,91,GK,120000000.0,125000.0,159400000.0,95,109,307,268,140,68,57,437,1413,489,3,1,Medium,Medium,3,87,92.0,78,90,52,90
3,29,91,91,Right,91,CAM,129000000.0,370000.0,161000000.0,407,441,398,408,408,91,186,56,2304,485,5,4,High,High,4,76,86.0,93,88,64,78
4,28,91,91,Right,91,LW,132000000.0,270000.0,166500000.0,408,448,453,357,356,93,94,59,2175,451,5,5,High,Medium,5,91,85.0,86,94,36,59
5,31,91,91,Right,91,ST,111000000.0,240000.0,132000000.0,423,407,407,420,391,88,96,51,2195,457,4,4,High,Medium,4,78,91.0,78,85,43,82
6,28,90,90,Left,90,RW,120500000.0,250000.0,144300000.0,392,406,460,393,376,90,122,62,2211,470,3,4,High,Medium,3,93,86.0,81,90,45,75
7,27,90,91,Right,90,GK,102000000.0,160000.0,120300000.0,114,138,268,240,140,65,50,439,1389,490,3,1,Medium,Medium,3,86,88.0,85,89,51,91
8,21,90,95,Right,91,ST,185500000.0,160000.0,203100000.0,408,394,458,404,341,84,100,42,2147,466,4,5,High,Low,3,96,86.0,78,91,39,76
9,28,90,93,Right,90,GK,110000000.0,260000.0,147700000.0,118,144,254,268,171,70,48,439,1442,484,4,1,Medium,Medium,3,88,85.0,88,90,45,88
10,28,90,91,Right,90,CB,113000000.0,210000.0,145300000.0,316,363,354,402,347,90,272,58,2112,455,3,2,Medium,Medium,3,76,60.0,71,71,91,86
12,28,89,89,Right,89,CDM,90500000.0,310000.0,122000000.0,349,369,343,437,396,84,259,67,2220,463,3,2,High,High,3,65,73.0,76,72,86,91
14,34,89,89,Right,89,GK,17500000.0,130000.0,47900000.0,119,160,286,284,188,70,38,440,1515,497,4,1,Medium,Medium,5,87,87.0,91,89,57,86
15,32,89,89,Right,89,CF,83500000.0,350000.0,108700000.0,426,404,388,400,363,90,89,41,2111,442,4,4,Medium,Low,4,74,85.0,81,86,40,76
16,34,89,89,Right,89,CB,33500000.0,300000.0,50200000.0,374,381,378,402,414,88,263,46,2258,463,3,3,High,Medium,4,71,70.0,76,73,88,85
17,32,89,89,Right,89,ST,83500000.0,300000.0,98100000.0,411,397,424,403,341,91,83,59,2118,439,4,4,High,Medium,4,78,90.0,77,88,33,73
19,29,88,88,Right,88,CDM,78000000.0,190000.0,96900000.0,328,336,420,381,386,85,264,54,2169,468,3,2,Medium,High,3,77,66.0,76,81,86,82
20,25,88,90,Right,88,CDM,103000000.0,145000.0,112100000.0,383,400,399,403,379,85,245,60,2269,473,4,3,High,Medium,3,71,72.0,86,84,81,79
22,26,88,91,Left,88,GK,92000000.0,195000.0,103000000.0,123,157,322,273,172,70,52,435,1534,498,3,1,Medium,Medium,2,86,82.0,93,88,63,86
